"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","令和２年(2020)","経度","緯度","分類"
"91","302031","橋本(県)-7","地価調査","住宅","橋本市","南馬場字西ケ瀬９０４番１９","","135.58797","34.30314","","","85000","84500","84000","82000","79500","77200","70000","65000","58700","54500","49700","46200","45000","44500","43000","41000","39000","37100","35000","33800","33100","32500","32000","31300","30600","29,900","135.587970000008","34.3031399999984","令和２年地価調査基準地"
"314","302031","橋本(県)-8","地価調査","住宅","橋本市","恋野字中切２２９６番１","","135.66021","34.32271","","","","","","","","","","","","","","","","","","","","","","","15500","15300","15000","14800","14600","14,400","135.660210000004","34.3227099999983","令和２年地価調査基準地"
"97","302031","橋本(県)5-1","地価調査","商業","橋本市","東家６丁目３３８番５","東家６－１－１","135.60507","34.31407","","","","","","","","","","","","162000","147000","134000","127000","124000","120000","114000","108000","102000","97100","94000","91400","89100","87100","85600","84300","82,900","135.605070000004","34.3140699999962","令和２年地価調査基準地"
"98","302031","橋本(県)5-2","地価調査","商業","橋本市","隅田町中島字宮ノ前１１９番６","","135.64832","34.32901","147000","147000","141000","138000","135000","129000","122000","116000","108000","99000","89500","80600","72600","68200","66000","65000","62500","59000","55500","52200","51200","50700","50000","49500","49000","48500","48200","47,900","135.648320000004","34.3290099999994","令和２年地価調査基準地"
"99","302031","橋本(県)5-3","地価調査","商業","橋本市","高野口町名倉字東大木芝１７９番１","","135.55554","34.30286","210000","205000","196000","190000","185000","175000","165000","156000","141000","123000","108000","93000","79000","66500","63500","62200","60000","57000","53600","50400","47300","45400","44000","42700","41500","40600","39800","38,900","135.555540000002","34.3028599999979","令和２年地価調査基準地"
"111","302058","御坊(県)-2","地価調査","住宅","御坊市","湯川町財部字薮田５０４番１外","","135.15102","33.90143","71000","71000","71000","70200","70000","69700","68800","68300","67900","66800","65400","64000","61800","59300","56600","54500","51000","47700","44200","41800","39700","38100","36900","35800","35000","34300","33600","32,900","135.151020000004","33.901429999997","令和２年地価調査基準地"
"109","302058","御坊(県)-3","地価調査","住宅","御坊市","塩屋町北塩屋字峠６３６番４","","135.16394","33.87705","47500","47500","47500","47300","47300","47300","47100","47000","46900","46500","46000","45300","44500","43500","42400","41400","39500","37500","35500","33700","32100","30700","29500","28800","28200","27700","27200","26,700","135.163940000003","33.8770499999986","令和２年地価調査基準地"
"110","302058","御坊(県)-4","地価調査","住宅","御坊市","藤田町吉田字砂窪２８４番１０","","135.16857","33.90431","","57000","57000","56400","56300","56200","56000","56000","55900","54800","53600","52400","51000","49400","47500","46000","43500","41100","38600","36600","34800","33400","32200","31200","30500","29900","29400","28,900","135.168570000004","33.9043099999968","令和２年地価調査基準地"
"112","302058","御坊(県)5-1","地価調査","商業","御坊市","薗字野田９７番１外","","135.15323","33.89602","169000","163000","158000","154000","151000","148000","141000","135000","130000","125000","117000","110000","104000","97600","88000","82700","77700","73000","67000","62500","58800","56000","53500","51700","50500","49500","48500","47,500","135.153230000005","33.8960199999966","令和２年地価調査基準地"
"113","302058","御坊(県)9-1","地価調査","工業","御坊市","名屋字川端１７６番４","","135.1555","33.88155","71400","71400","70500","69800","69500","69300","68000","67500","67000","65500","61500","57800","53100","48700","43500","40000","35000","32300","29000","26500","25000","23700","22600","21800","21000","20300","19700","19,000","135.155500000005","33.881549999997","令和２年地価調査基準地"
"114","302066","田辺(県)-1","地価調査","住宅","田辺市","東山２丁目８２６番８８","東山２－２１－１８","135.39428","33.7236","","","","","","","","","","","80000","77600","74500","72600","70800","69100","67000","64500","61900","59000","57600","57600","57600","57600","58000","58500","59000","59,000","135.394280000004","33.7235999999995","令和２年地価調査基準地"
"303","302066","田辺(県)-2","地価調査","住宅","田辺市","上秋津字中代１９８９番１８","","135.40643","33.75601","","","","","","","","","","","","","","","","","","","","","53000","52000","51800","51600","51600","51200","51000","50,300","135.406430000004","33.7560099999996","令和２年地価調査基準地"
"100","302031","橋本(県)9-1","地価調査","工業","橋本市","神野々字西石畑１１８２番外","","135.57836","34.302","75000","74300","72000","71000","70600","67500","65000","62500","58000","54500","49000","45000","40500","36400","33800","33000","31700","30000","28200","27300","26400","25800","25300","24900","24600","24400","24200","23,900","135.57836000001","34.302","令和２年地価調査基準地"
"101","302040","有田(県)-1","地価調査","住宅","有田市","辻堂字中筋５７４番１","","135.14698","34.07545","75000","75000","75000","75000","75000","74500","72500","71000","69300","66600","63900","61500","59300","57300","56400","55000","52800","50400","47900","46000","42500","40700","40000","39600","39300","39000","38800","38,600","135.146980000006","34.0754499999963","令和２年地価調査基準地"
"102","302040","有田(県)-2","地価調査","住宅","有田市","糸我町中番字上高井３４６番４","","135.17442","34.06837","52000","52000","52000","52000","52000","52000","51500","51000","50500","49500","48500","46600","45000","43500","42600","41300","39200","37200","35200","34000","32000","30700","29500","28900","28500","28100","27600","27,000","135.174420000005","34.0683699999949","令和２年地価調査基準地"
"103","302040","有田(県)-3","地価調査","住宅","有田市","宮原町滝川原字神上２９番５","","135.17157","34.08126","65500","65500","65500","65500","65500","65500","64500","63700","62600","61300","60100","58000","56000","54000","52900","51300","48700","46200","43000","40500","38700","37500","36000","34700","33700","32900","32200","31,500","135.171570000004","34.0812599999961","令和２年地価調査基準地"
"104","302040","有田(県)-4","地価調査","住宅","有田市","港町字葭原７９３番４６","","135.10382","34.08758","64000","64000","64000","64000","64000","63500","62500","61500","60200","58700","57200","55800","53600","51500","50500","49100","47100","44800","42600","40000","38000","36100","34000","31900","30000","28900","27900","27,000","135.103820000006","34.0875799999975","令和２年地価調査基準地"
"105","302040","有田(県)5-1","地価調査","商業","有田市","箕島字川田２０番５","","135.12248","34.08385","","","","","","","","","","","","","","","","","84200","76500","68800","64000","60000","55900","53000","50600","48800","47100","45500","44,000","135.122480000006","34.0838499999974","令和２年地価調査基準地"
"107","302058","御坊(県)-1","地価調査","住宅","御坊市","名田町野島字前畑１５７６番外","","135.17148","33.84335","","","","","","","","","","","","","","","","32200","31000","29900","28700","27600","26700","25800","25100","24500","24000","23500","23100","22,700","135.171480000004","33.8433499999991","令和２年地価調査基準地"
"191","303437","九度山(県)-2","地価調査","住宅","九度山町","大字入郷字中ノ段５８７番１","","135.5537","34.293","52000","52000","52000","52000","52000","52000","51500","51000","50000","46500","42500","40000","37500","35500","34100","33100","32000","31700","30200","28700","27300","26000","24900","23900","23000","22200","21400","20,700","135.553700000003","34.2929999999983","令和２年地価調査基準地"
"192","303437","九度山(県)-3","地価調査","住宅","九度山町","大字下古沢字柳３０９番３","","135.55365","34.26712","","","","","","","","","","26500","26200","25800","25200","24600","24100","23700","23000","22500","21900","21300","20700","20200","19800","19500","19300","18700","18300","17,900","135.553650000004","34.2671199999989","令和２年地価調査基準地"
"196","303445","高野(県)-1","地価調査","住宅","高野町","大字高野山字蓮花谷５０７番５","","135.59569","34.21217","52300","52300","52300","52300","52300","52000","51700","51300","50800","50300","49300","48300","47300","46300","45400","44800","43500","42400","40500","39200","37500","36000","34800","33700","32700","31700","30800","29,900","135.595690000004","34.2121699999982","令和２年地価調査基準地"
"340","303445","高野(県)-2","地価調査","住宅","高野町","大字花坂字宮前６９６番１","","135.5288360","34.2165360","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,800","135.528836000004","34.2165360000004","令和２年地価調査基準地"
"197","303445","高野(県)5-1","地価調査","商業","高野町","大字高野山字小田原谷７６７番１内","","135.58752","34.21267","188000","188000","188000","183000","180000","177000","173000","170000","167000","164000","156000","148000","140000","131000","127000","125000","120000","116000","108000","102000","96500","91500","88800","86100","84400","83100","82300","81,000","135.587520000005","34.2126699999982","令和２年地価調査基準地"
"201","303615","湯浅(県)-1","地価調査","住宅","湯浅町","大字湯浅字宮ノ西１７６６番３","","135.18213","34.03974","78000","78000","78000","78000","78000","77200","76000","74700","73600","71200","69000","66900","64800","62500","61600","61000","58600","55700","52000","48200","45500","42900","40700","39100","37800","36600","35500","34,400","135.182130000008","34.0397399999933","令和２年地価調査基準地"
"337","302066","田辺(県)9-1","地価調査","工業","田辺市","下三栖字岩屋谷１４７５番１８６外","","135.4243570","33.7247960","","","","","","","","","","","","","","","","","","","","","","","","","","","","13,200","135.424357000004","33.7247960000004","令和２年地価調査基準地"
"137","302074","新宮(県)-1","地価調査","住宅","新宮市","池田２丁目１番１１","池田２－１－１０","135.99546","33.72816","121000","121000","120000","120000","120000","117000","113000","106000","100000","96000","91500","88000","85000","81700","78800","76200","73600","71000","66000","61300","58300","56100","54500","52900","51400","50000","49500","48,900","135.995460000005","33.7281600000028","令和２年地価調査基準地"
"138","302074","新宮(県)-2","地価調査","住宅","新宮市","橋本２丁目３９３９番１０","橋本２－１２－１９","135.99005","33.71584","80000","80000","80000","80000","80000","79000","78200","75900","74500","73500","72400","70900","69600","67100","65000","63000","60600","58800","54500","50600","48000","46800","45800","44900","44100","43400","43000","42,500","135.990050000004","33.7158400000018","令和２年地価調査基準地"
"139","302074","新宮(県)-3","地価調査","住宅","新宮市","佐野１丁目１３９番２外","佐野１－６－１７","135.97534","33.68207","68700","68700","68700","68700","68700","68000","67500","65600","64400","63400","62300","61000","59900","58400","57000","55900","54100","52400","51000","48200","46700","45800","44800","43900","43100","42600","42100","41,500","135.975340000005","33.682069999999","令和２年地価調査基準地"
"140","302074","新宮(県)-4","地価調査","住宅","新宮市","新宮字松山４６４３番７４","","135.99574","33.71265","61600","61600","61600","61600","61600","61000","60400","59800","59200","58600","57500","56500","55700","55100","54000","53000","51300","49800","47000","46500","46500","46500","46500","46500","46500","46500","46500","46,000","135.995740000005","33.7126500000018","令和２年地価調査基準地"
"338","302074","新宮(県)-5","地価調査","住宅","新宮市","熊野川町日足字浦地３９１番外","","135.8733600","33.8048500","","","","","","","","","","","","","","","","","","","","","","","","","","","","9,950","135.873360000003","33.8048499999976","令和２年地価調査基準地"
"325","302074","新宮(県)5-1","地価調査","商業","新宮市","千穂１丁目８３３番３外","千穂１－１－４５","135.986408","33.725484","","","","","","","","","","","","","","","","","","","","","","","","","","69700","69000","68,000","135.986408000004","33.7254840000023","令和２年地価調査基準地"
"328","302074","新宮(県)5-2","地価調査","商業","新宮市","新宮字上熊野７６４０番４内","","135.9926334","33.72701139","","","","","","","","","","","","","","","","","","","","","","","","","","","60000","59,000","135.992633400005","33.7270113900026","令和２年地価調査基準地"
"319","302074","新宮(県)5-3","地価調査","商業","新宮市","佐野字根地原９７５番５外","","135.971222","33.684259","","","","","","","","","","","","","","","","","","","","","","","","44500","44500","44200","44000","43,300","135.971222000005","33.6842589999981","令和２年地価調査基準地"
"306","302074","新宮(県)9-1","地価調査","工業","新宮市","あけぼの５５３２番１３８外","あけぼの５－５３","136.00657","33.72437","","","","","","","","","","","","","","","","","","","","","20000","19300","18700","18200","17800","17600","17400","17,100","136.006570000003","33.7243700000011","令和２年地価調査基準地"
"157","302082","紀の川(県)-1","地価調査","住宅","紀の川市","貴志川町井ノ口字中ノ場２６１番２","","135.31862","34.20804","51000","51000","50500","49500","49500","48500","46500","44600","43000","41200","38300","35600","33100","31500","30300","28700","27300","25500","23600","22300","21100","19900","18800","18100","17600","17400","17200","17,000","135.318620000007","34.2080399999969","令和２年地価調査基準地"
"148","302082","紀の川(県)-2","地価調査","住宅","紀の川市","中三谷字西大道下８９番１外","","135.34143","34.27359","46600","46600","46600","45400","44700","44500","42500","41300","40000","38200","35900","33500","30800","29600","28500","27600","25700","24100","22500","21800","21000","20400","20000","19600","19200","18900","18600","18,300","135.341430000004","34.2735899999982","令和２年地価調査基準地"
"149","302082","紀の川(県)-3","地価調査","住宅","紀の川市","花野字宮脇９２番３０","","135.35751","34.25896","94000","94000","91000","87000","85000","82500","77000","72500","67800","62600","57300","53300","49000","46100","44300","42700","40000","37600","35500","34700","33500","32200","31500","31000","30500","30200","30000","29,800","135.357510000003","34.2589599999966","令和２年地価調査基準地"
"150","302082","紀の川(県)-4","地価調査","住宅","紀の川市","東国分字上川３５３番４０","","135.345","34.26776","84000","84000","81500","78000","77000","75000","71000","68500","63800","59000","54100","49400","44700","42400","40100","38100","35800","33600","31500","30800","30000","28800","28100","27700","27400","27200","27000","26,800","135.345000000004","34.2677599999973","令和２年地価調査基準地"
"159","302082","紀の川(県)-5","地価調査","住宅","紀の川市","桃山町調月字北上ノ台８３２番３","","135.3397","34.22799","","65000","65000","64400","63900","62400","60000","58500","56000","52800","48800","44800","41200","39000","37200","35500","33700","30500","29100","27000","25100","23700","22700","21700","20900","20500","20100","19,700","135.339700000006","34.227989999997","令和２年地価調査基準地"
"152","302082","紀の川(県)-6","地価調査","住宅","紀の川市","貴志川町長山字荒子谷２７７番７５８","","135.28845","34.21096","90000","90000","89500","85000","82500","79600","71700","66900","62900","58000","53700","49200","45000","42000","39000","36700","34600","31300","29900","29000","28100","27300","26600","26000","25500","25300","25100","24,800","135.288450000005","34.2109599999965","令和２年地価調査基準地"
"153","302082","紀の川(県)-7","地価調査","住宅","紀の川市","野上字八屋窪１０６番１外","","135.4291","34.29085","","","39000","38700","38500","38100","37400","36800","35500","34000","32000","29900","27800","27000","26000","24800","23100","21500","20200","18900","18000","17200","16500","15900","15600","15300","15100","14,900","135.429100000003","34.2908499999987","令和２年地価調査基準地"
"154","302082","紀の川(県)-8","地価調査","住宅","紀の川市","粉河字上打田１３７９番１６","","135.39901","34.27369","","92000","91000","90000","89400","86000","78400","73800","69300","63800","58000","53000","47900","45200","43500","41800","39200","36500","34300","32600","31000","29800","28800","28000","27700","27400","27200","27,000","135.399010000004","34.2736899999971","令和２年地価調査基準地"
"155","302082","紀の川(県)-9","地価調査","住宅","紀の川市","上田井字レイ(ヨ＋大)佛５０１番５５","","135.38719","34.27198","66800","66800","66800","66500","66300","66000","62700","60000","56300","52400","48200","44200","40200","37800","36000","34400","32300","30300","28200","26700","25500","24500","24000","23700","23400","23100","22900","22,700","135.387190000003","34.2719800000004","令和２年地価調査基準地"
"156","302082","紀の川(県)-10","地価調査","住宅","紀の川市","名手西野字杉ノ森２７１番２","","135.43495","34.27126","59500","59500","59500","59000","58500","57700","53700","51500","48600","45500","41900","38600","35700","33700","32400","31000","29100","27200","25300","23600","22000","20900","20500","20000","19800","19600","19400","19,200","135.434950000007","34.2712599999958","令和２年地価調査基準地"
"160","302082","紀の川(県)-11","地価調査","住宅","紀の川市","桃山町段新田字安多良３１２番","","135.36154","34.24668","37200","37200","37200","37000","36900","36500","36000","35500","34500","33000","31000","29000","27100","25500","24500","23600","22600","21000","20200","19500","18600","18100","17700","17400","17100","16900","16600","16,300","135.361540000003","34.2466799999974","令和２年地価調査基準地"
"163","302082","紀の川(県)5-1","地価調査","商業","紀の川市","西大井字波分９４番１","","135.36288","34.2661","173000","165000","157000","147000","140000","133000","122000","115000","108000","99500","90800","80500","71000","66000","62500","59400","55400","51800","48500","46500","43800","41600","40500","40000","39600","39300","38600","37,900","135.362880000003","34.2660999999987","令和２年地価調査基準地"
"329","302082","紀の川(県)5-2","地価調査","商業","紀の川市","粉河字東鳥居７８４番７外","","135.4058429","34.26899072","","","","","","","","","","","","","","","","","","","","","","","","","","","38100","37,700","135.405842900004","34.268990719996","令和２年地価調査基準地"
"300","302082","紀の川(県)5-3","地価調査","商業","紀の川市","名手市場字丹過６４番１","","135.4337","34.27369","","","","","","","","","","","","","","","","","","","","38000","35500","33800","32200","30800","30000","29400","28800","28,200","135.433700000004","34.2736899999978","令和２年地価調査基準地"
"330","302082","紀の川(県)5-4","地価調査","商業","紀の川市","貴志川町前田字堂ノ前２２９番１内","","135.3161394","34.22026392","","","","","","","","","","","","","","","","","","","","","","","","","","","31300","31,000","135.316139400007","34.2202639199972","令和２年地価調査基準地"
"167","302082","紀の川(県)9-1","地価調査","工業","紀の川市","北勢田字烏子川１０７９番１０外","","135.37329","34.28664","","","","","","","","","","","","","","","","22000","20700","19200","18200","17400","16500","15800","15200","14900","14700","14700","14700","14,700","135.373290000003","34.2866399999994","令和２年地価調査基準地"
"315","302091","岩出(県)-1","地価調査","住宅","岩出市","山崎字東口５２番６５","","135.32103","34.24556","","","","","","","","","","","","","","","","","","","","","","","26900","26300","25700","25200","24700","24,200","135.321030000007","34.2455599999982","令和２年地価調査基準地"
"169","302091","岩出(県)-2","地価調査","住宅","岩出市","金屋字岸ノ上１７９番１","","135.29965","34.26637","","58000","57000","54600","54000","52600","49500","46900","45000","42700","40500","38400","35000","33000","31800","31100","29500","28800","28000","27400","27100","26800","26400","25600","24900","24300","23700","23,200","135.299650000008","34.2663699999991","令和２年地価調査基準地"
"170","302091","岩出(県)-3","地価調査","住宅","岩出市","野上野字沼ノ上２２１番１９","","135.3185","34.2715","","","","","","","69700","65200","62000","57500","53000","49000","45500","43200","41800","41300","40800","40200","39400","39400","40200","40200","40800","41200","41400","41500","41500","41,500","135.318500000008","34.2714999999994","令和２年地価調査基準地"
"171","302091","岩出(県)-4","地価調査","住宅","岩出市","中黒字髙圦４４６番４８","","135.28561","34.27307","109000","109000","105000","98900","95000","89300","79700","74800","69500","63900","58700","54000","50700","48600","47100","46100","45000","44500","43700","43700","44500","44900","45800","46000","46100","46500","46500","46,500","135.285610000007","34.2730699999992","令和２年地価調査基準地"
"179","303046","紀美野(県)-3","地価調査","住宅","紀美野町","下佐々字上中通４６３番３","","135.31792","34.15698","37800","37800","37800","37800","37800","37800","37800","37800","37800","37400","37000","36500","36000","35100","34300","33500","31800","29900","28000","26000","24500","23300","22200","21200","20300","19500","18800","18,200","135.317920000006","34.1569799999983","令和２年地価調査基準地"
"184","303411","かつらぎ(県)-1","地価調査","住宅","かつらぎ町","大字妙寺字上ノ島１６０番３１","","135.53009","34.30063","94500","94500","92000","91000","88400","87000","81000","77200","74000","70000","65100","61000","56500","52800","51500","50500","49000","46500","44800","42000","40200","38700","37500","36400","35200","34200","33500","32,800","135.530090000004","34.300629999999","令和２年地価調査基準地"
"185","303411","かつらぎ(県)-2","地価調査","住宅","かつらぎ町","大字丁ノ町字北鳥居田７６８番１７","","135.51693","34.30216","90000","88700","88000","87000","85200","82000","76200","72800","70000","65500","59200","54500","50200","46900","44800","44000","42700","40800","39000","37800","36200","34900","33800","32700","31700","30900","30400","29,900","135.516930000005","34.3021599999982","令和２年地価調査基準地"
"310","303411","かつらぎ(県)-3","地価調査","住宅","かつらぎ町","大字笠田東字前田４４６番１３","","135.47762","34.28654","","","","","","","","","","","","","","","","","","","","","","22000","21500","21000","20600","20300","20100","19,900","135.477620000005","34.286539999997","令和２年地価調査基準地"
"187","303411","かつらぎ(県)-4","地価調査","住宅","かつらぎ町","大字花園梁瀬字荒神小路６０４番","","135.51521","34.13642","5970","5970","5970","5970","5970","5970","5900","5900","5800","5700","5600","5500","5400","5320","5270","5220","5100","4800","4600","4500","4400","4350","4330","4310","4300","4280","4250","4,220","135.515210000009","34.1364199999962","令和２年地価調査基準地"
"189","303411","かつらぎ(県)5-1","地価調査","商業","かつらぎ町","大字新田字上嶋北１０６番６","","135.5175","34.29778","","","","","","","98000","91600","85000","78000","68800","62000","57000","53400","52200","50600","48600","46200","43100","41800","39800","38200","36700","35300","34300","33500","33000","32,600","135.517500000004","34.2977799999985","令和２年地価調査基準地"
"293","303437","九度山(県)-1","地価調査","住宅","九度山町","大字九度山字東山６６３番２外","","135.56957","34.28459","","","","","","","","","","","","","","","","","","29200","28000","26800","25200","24000","23100","22200","21400","21000","20900","20,700","135.569570000003","34.2845899999984","令和２年地価調査基準地"
"172","302091","岩出(県)-5","地価調査","住宅","岩出市","清水字北端２８５番１０","","135.31781","34.25384","","","","","","","","","79000","72800","66700","61400","56800","54200","53000","52500","51000","50100","49100","48600","48600","48600","48600","48300","48000","47800","47600","47,300","135.317810000008","34.2538399999991","令和２年地価調査基準地"
"173","302091","岩出(県)-6","地価調査","住宅","岩出市","中迫字外野４３番２６","","135.31854","34.26388","105000","105000","102000","97000","93000","87000","77700","72400","67500","62000","57200","52900","48700","46000","44800","44100","42700","42300","41200","40500","41300","41300","41300","41000","40700","40500","40300","40,000","135.318540000007","34.2638799999994","令和２年地価調査基準地"
"174","302091","岩出(県)3-1","地価調査","宅見","岩出市","西国分字西野々５５１番","","135.33034","34.26806","","","","","41000","39300","37200","34500","31100","27700","24000","20000","17000","15500","14800","14500","14100","13900","13700","13500","13800","13800","13800","13800","13800","13800","13700","13,400","135.330340000006","34.2680599999995","令和２年地価調査基準地"
"175","302091","岩出(県)5-1","地価調査","商業","岩出市","清水字千代３６４番４","","135.31747","34.2548","250000","225000","210000","193000","183000","170000","153000","140000","129000","119000","110000","100000","91000","84600","80200","77200","73500","71600","69700","68000","68000","68500","68500","68500","68500","68500","68500","67,500","135.317470000007","34.2547999999991","令和２年地価調査基準地"
"176","302091","岩出(県)5-2","地価調査","商業","岩出市","西野字保田１３１番１","","135.30625","34.25888","","","","","","","","","","138000","127000","112000","102000","94400","88700","85100","82500","80000","77800","76200","75400","75400","75400","75500","75500","75500","75500","75,100","135.306250000007","34.258879999999","令和２年地価調査基準地"
"339","303046","紀美野(県)-1","地価調査","住宅","紀美野町","小畑字登尾８３４番３２","","135.3078020","34.1734050","","","","","","","","","","","","","","","","","","","","","","","","","","","","24,000","135.307802000006","34.1734049999965","令和２年地価調査基準地"
"180","303046","紀美野(県)-2","地価調査","住宅","紀美野町","福田字垣内２００番内","","135.34349","34.15465","20000","20000","20000","20000","20000","20000","20000","20000","20000","19800","19600","19300","19200","19100","19000","18900","18800","17900","16800","15800","14900","14200","13700","13300","13000","12700","12500","12,300","135.343490000006","34.1546499999946","令和２年地価調査基準地"
"199","303615","湯浅(県)-2","地価調査","住宅","湯浅町","大字青木字西長谷５４９番７","","135.1858","34.03143","79000","79000","79000","78300","78300","77200","75500","73800","71800","69600","67500","65200","63000","61000","60100","58800","57000","54700","51000","47500","45100","43300","42000","41100","40400","39700","39100","38,500","135.185800000005","34.0314299999948","令和２年地価調査基準地"
"320","303615","湯浅(県)-3","地価調査","住宅","湯浅町","大字山田字岩ノ谷１０番１２","","135.195488","34.031809","","","","","","","","","","","","","","","","","","","","","","","","31400","31200","31000","30800","30,500","135.195488000004","34.0318089999949","令和２年地価調査基準地"
"202","303615","湯浅(県)5-1","地価調査","商業","湯浅町","大字湯浅字筒井２３２８番３","","135.18733","34.04049","201000","199000","193000","188000","184000","177000","169000","161000","151000","133000","120000","108000","95000","84500","82000","80400","75000","70500","64800","59600","55400","51600","48600","46300","44800","43400","42100","40,800","135.187330000005","34.0404899999937","令和２年地価調査基準地"
"311","303623","広川(県)-1","地価調査","住宅","広川町","大字広字中ノ町１２１４番１","","135.17154","34.02506","","","","","","","","","","","","","","","","","","","","","","25300","24600","23600","22700","22000","21300","20,600","135.171540000009","34.025059999994","令和２年地価調査基準地"
"204","303623","広川(県)-2","地価調査","住宅","広川町","大字山本字赤井段４４１番","","135.16996","34.01337","35800","35800","35800","35800","35800","35600","35400","35000","34700","34400","34100","33800","32500","31300","30300","29500","28300","27000","25600","24800","22500","21400","20800","20300","20000","19600","19600","19,500","135.169960000008","34.0133699999944","令和２年地価調査基準地"
"205","303623","広川(県)-3","地価調査","住宅","広川町","大字下津木字権蔵原７４３番３","","135.21397","33.97957","","","","","","22000","22000","22000","21900","21700","21500","21300","21000","20700","20300","20000","19400","18700","17900","17600","17500","17000","16900","16800","16600","16400","16200","16,000","135.213970000004","33.9795700000002","令和２年地価調査基準地"
"321","303666","有田川(県)-1","地価調査","住宅","有田川町","大字下津野字中吉１７２０番２","","135.219239","34.060928","","","","","","","","","","","","","","","","","","","","","","","","37800","36300","35300","34300","33,400","135.219239000004","34.0609279999933","令和２年地価調査基準地"
"208","303666","有田川(県)-2","地価調査","住宅","有田川町","大字水尻字垣内１１４５番６","","135.19951","34.05288","","81000","81000","80500","80500","79600","77900","76000","74000","73000","71300","69600","68200","67500","67500","67500","66000","64000","61600","59100","57300","56400","56400","56400","56300","56200","56200","56,100","135.199510000005","34.052879999993","令和２年地価調査基準地"
"215","303666","有田川(県)-3","地価調査","住宅","有田川町","大字粟生字戎山３９９番２","","135.34396","34.04846","25500","25500","25500","25500","25500","25300","25300","25300","25200","25100","24900","24700","24400","23900","23500","22400","20300","19300","18400","16600","15100","14000","13300","12700","12200","11800","11500","11,200","135.343960000007","34.0484600000023","令和２年地価調査基準地"
"210","303666","有田川(県)-4","地価調査","住宅","有田川町","大字市場字里１５８番","","135.25275","34.06764","63000","63000","63000","63000","63000","63000","62700","62400","62000","61800","61300","60500","59300","57500","56500","54800","51800","48500","45000","42200","39600","36900","35000","33800","32000","30800","29800","28,800","135.252750000004","34.0676399999946","令和２年地価調査基準地"
"211","303666","有田川(県)-5","地価調査","住宅","有田川町","大字歓喜寺字中越２３９番","","135.2613","34.05019","24800","24800","24800","24800","24800","24800","24800","24800","24800","24800","24600","24500","24200","23700","23600","23600","23100","22400","21700","21100","21000","20400","20300","20200","20100","19800","19700","19,500","135.261300000004","34.0501900000007","令和２年地価調査基準地"
"216","303666","有田川(県)5-1","地価調査","商業","有田川町","大字徳田字北垣内２４１番９","","135.25","34.0635","205000","199000","193000","186000","182000","17300","156000","139000","123000","109000","95900","83000","75000","70000","68000","65800","61900","58000","53900","48500","44800","41300","38300","35800","33500","32000","31000","30,000","135.250000000003","34.0634999999927","令和２年地価調査基準地"
"307","303666","有田川(県)5-2","地価調査","商業","有田川町","大字天満字東風垣内町２９１番１外","","135.20569","34.05738","","","","","","","","","","","","","","","","","","","","","63900","63200","63200","63200","62600","62100","61600","61,100","135.205690000005","34.057379999993","令和２年地価調査基準地"
"217","303810","美浜(県)-1","地価調査","住宅","美浜町","大字和田字宮垣内１５８９番３","","135.12537","33.8983","34700","34700","34700","34700","34700","34700","34700","34600","34600","34200","33800","33100","32400","31600","30600","29700","28700","27300","25800","24000","22500","21500","20800","20300","19800","19400","19100","18,800","135.125370000004","33.8982999999991","令和２年地価調査基準地"
"218","303810","美浜(県)-2","地価調査","住宅","美浜町","大字吉原字大西５４７番１４外","","135.13997","33.89545","51000","51000","51000","51000","51000","50700","50500","50500","50400","50000","49500","48400","47400","46000","44400","43000","41600","39500","37700","35500","34000","32900","32100","31400","30700","30100","29500","28,800","135.139970000003","33.8954499999993","令和２年地価調査基準地"
"219","303810","美浜(県)-3","地価調査","住宅","美浜町","大字三尾字中ノ浜８８４番外","","135.08222","33.89109","","","","","","","","","","28700","28400","27800","27300","26700","26000","25100","24200","23000","21600","20100","18700","17500","16600","15900","15300","14800","14400","14,000","135.082220000003","33.8910900000006","令和２年地価調査基準地"
"221","303828","日高(県)-1","地価調査","住宅","日高町","大字比井字濱田９８１番","","135.0834","33.92121","22600","22600","22600","22400","22400","22000","22000","22000","22000","22000","21800","21500","21000","20400","19800","19300","18800","18000","17100","15800","14500","13500","13100","12700","12300","12000","11700","11,500","135.083400000004","33.9212099999994","令和２年地価調査基準地"
"222","303828","日高(県)-2","地価調査","住宅","日高町","大字荊木字萩之前６３５番２外","","135.15101","33.92635","31800","31800","31800","31600","31600","31500","31500","31500","31500","31300","31000","30600","30000","29100","28300","27500","26700","25500","24200","23100","22100","21400","20900","20500","20100","19700","19400","19,100","135.151010000004","33.9263499999974","令和２年地価調査基準地"
